,입고 예약 날짜,센터,협력회사,입고 예약 설정 시간,입고예약,미처리 예약,현재 시각
0,2022/06/23,E500 : 평택물류센터,A0021178: (주)엠디에스코리아,a_2100,62 건,0 건,2022_06_22_07_00
1,2022/06/23,E500 : 평택물류센터,A0021400: 영미산업(주),a_2100,0 건,x,2022_06_22_07_00
2,2022/06/23,E500 : 평택물류센터,A0026129: 연세대학교 연세우유,a_2100,83 건,0 건,2022_06_22_07_03
3,2022/06/23,E500 : 평택물류센터,A0026283: (주)정.식품,a_2100,178 건,0 건,2022_06_22_07_05
4,2022/06/23,E500 : 평택물류센터,A0026875: 대상푸드플러스주식회사,a_2100,52 건,0 건,2022_06_22_07_07
5,2022/06/23,E500 : 평택물류센터,A0035706: (주)병천아우내식품,a_2100,147 건,0 건,2022_06_22_07_09
6,2022/06/23,E500 : 평택물류센터,A0037854: 주식회사 동방푸드마스타,a_2100,39 건,0 건,2022_06_22_07_11
7,2022/06/23,E500 : 평택물류센터,A0037855: 그린써브(주),a_1730,214 건,0 건,2022_06_22_07_13
8,2022/06/23,E500 : 평택물류센터,A0039824: 씨제이 푸드빌(주),a_2100,230 건,0 건,2022_06_22_07_15
9,2022/06/23,E500 : 평택물류센터,A0049477: 대상에프앤비(주),a_2100,5 건,0 건,2022_06_22_07_17
10,2022/06/23,E500 : 평택물류센터,A0051109: (주)에취알에스,a_2100,5 건,0 건,2022_06_22_07_18
11,2022/06/23,E500 : 평택물류센터,A0053856: 종로복떡방,a_2100,56 건,0 건,2022_06_22_07_20
12,2022/06/23,E500 : 평택물류센터,A0058410: 청호식품,a_2100,0 건,x,2022_06_22_07_21
13,2022/06/23,E500 : 평택물류센터,A0134072: (주) 이룸푸드시스템,a_2100,20 건,0 건,2022_06_22_07_23
14,2022/06/23,E500 : 평택물류센터,A0142645: (주)일화,a_2100,199 건,0 건,2022_06_22_07_25
15,2022/06/23,E500 : 평택물류센터,A0154307: 농업회사법인주식회사 네이처팜,a_2100,6 건,0 건,2022_06_22_07_27
16,2022/06/23,E500 : 평택물류센터,A0157435: (주)세진에프알에스,a_2100,2 건,0 건,2022_06_22_07_29
17,2022/06/23,E500 : 평택물류센터,A0164484: 태광식품(주),a_2100,475 건,0 건,2022_06_22_07_31
18,2022/06/23,E500 : 평택물류센터,A0165357: 샘표식품 주식회사,a_2100,11 건,0 건,2022_06_22_07_33
19,2022/06/23,E500 : 평택물류센터,A0169483: (주)움트리,a_2100,22 건,0 건,2022_06_22_07_35
20,2022/06/23,E500 : 평택물류센터,A0176657: 주식회사 스칸딕프라자,a_2100,61 건,0 건,2022_06_22_07_37
21,2022/06/23,E500 : 평택물류센터,A0193596: (주)에스앤푸드,a_2100,45 건,0 건,2022_06_22_07_40
22,2022/06/23,E500 : 평택물류센터,A0221253: 솔로몬엔터프라이즈주식회사,a_2100,3 건,0 건,2022_06_22_07_42
23,2022/06/23,E500 : 평택물류센터,A0232510: 이엔푸드,a_2100,6 건,0 건,2022_06_22_07_44
24,2022/06/23,E500 : 평택물류센터,A0245015: (주)삼아아시아,a_2100,13 건,0 건,2022_06_22_07_46
25,2022/06/24,E300 : 김해물류센터,A0021178: (주)엠디에스코리아,a_2100,1 건,0 건,2022_06_22_07_47
26,2022/06/24,E300 : 김해물류센터,A0021400: 영미산업(주),a_2100,0 건,x,2022_06_22_07_47
27,2022/06/24,E300 : 김해물류센터,A0026129: 연세대학교 연세우유,a_2100,0 건,x,2022_06_22_07_47
28,2022/06/24,E300 : 김해물류센터,A0026283: (주)정.식품,a_2100,2 건,0 건,2022_06_22_07_47
29,2022/06/24,E300 : 김해물류센터,A0026875: 대상푸드플러스주식회사,a_2100,0 건,x,2022_06_22_07_47
30,2022/06/24,E300 : 김해물류센터,A0035706: (주)병천아우내식품,a_2100,0 건,x,2022_06_22_07_48
31,2022/06/24,E300 : 김해물류센터,A0037854: 주식회사 동방푸드마스타,a_2100,0 건,x,2022_06_22_07_48
32,2022/06/24,E300 : 김해물류센터,A0037855: 그린써브(주),a_1730,16 건,0 건,2022_06_22_07_48
33,2022/06/24,E300 : 김해물류센터,A0039824: 씨제이 푸드빌(주),a_2100,54 건,0 건,2022_06_22_07_49
34,2022/06/24,E300 : 김해물류센터,A0049477: 대상에프앤비(주),a_2100,0 건,x,2022_06_22_07_49
35,2022/06/24,E300 : 김해물류센터,A0051109: (주)에취알에스,a_2100,0 건,x,2022_06_22_07_49
36,2022/06/24,E300 : 김해물류센터,A0053856: 종로복떡방,a_2100,3 건,0 건,2022_06_22_07_50
37,2022/06/24,E300 : 김해물류센터,A0058410: 청호식품,a_2100,0 건,x,2022_06_22_07_50
38,2022/06/24,E300 : 김해물류센터,A0134072: (주) 이룸푸드시스템,a_2100,0 건,x,2022_06_22_07_50
39,2022/06/24,E300 : 김해물류센터,A0142645: (주)일화,a_2100,1 건,0 건,2022_06_22_07_50
40,2022/06/24,E300 : 김해물류센터,A0154307: 농업회사법인주식회사 네이처팜,a_2100,0 건,x,2022_06_22_07_51
41,2022/06/24,E300 : 김해물류센터,A0157435: (주)세진에프알에스,a_2100,0 건,x,2022_06_22_07_51
42,2022/06/24,E300 : 김해물류센터,A0164484: 태광식품(주),a_2100,42 건,0 건,2022_06_22_07_51
43,2022/06/24,E300 : 김해물류센터,A0165357: 샘표식품 주식회사,a_2100,3 건,0 건,2022_06_22_07_52
44,2022/06/24,E300 : 김해물류센터,A0169483: (주)움트리,a_2100,1 건,0 건,2022_06_22_07_52
45,2022/06/24,E300 : 김해물류센터,A0176657: 주식회사 스칸딕프라자,a_2100,32 건,0 건,2022_06_22_07_53
46,2022/06/24,E300 : 김해물류센터,A0193596: (주)에스앤푸드,a_2100,2 건,0 건,2022_06_22_07_54
47,2022/06/24,E300 : 김해물류센터,A0221253: 솔로몬엔터프라이즈주식회사,a_2100,0 건,x,2022_06_22_07_54
48,2022/06/24,E300 : 김해물류센터,A0232510: 이엔푸드,a_2100,0 건,x,2022_06_22_07_54
49,2022/06/24,E300 : 김해물류센터,A0245015: (주)삼아아시아,a_2100,0 건,x,2022_06_22_07_54
50,2022/06/23,E200 : 왜관물류센터,A0021178: (주)엠디에스코리아,a_2100,8 건,0 건,2022_06_22_07_55
51,2022/06/23,E200 : 왜관물류센터,A0021400: 영미산업(주),a_2100,0 건,x,2022_06_22_07_55
52,2022/06/23,E200 : 왜관물류센터,A0026129: 연세대학교 연세우유,a_2100,11 건,0 건,2022_06_22_07_55
53,2022/06/23,E200 : 왜관물류센터,A0026283: (주)정.식품,a_2100,27 건,0 건,2022_06_22_07_56
